Recruitment Number,Position Number,Classification,Department,Interview Date,Selection,Job Offer Date,Effective Date,Comments,Date Verification
5806467,123-009-121-009,UX Designer,Operations,2023-03-21,Jessica Garcia,2023-03-25,,rescinded,Dates OK
8606317,123-010-120-005,Executive Assistant,Legal,2022-06-29,Melissa Nelson,2022-07-03,,rescinded,Dates OK
1212482,123-003-123-001,Data Engineer,Engineering,2023-06-20,Charlotte Thompson,2023-07-07,,declined,Dates OK
5349442,123-006-106-004,Marketing Coordinator,Customer Service,2022-05-01,George Cruz,2022-05-26,2022-07-23,new to org,Dates OK
5349442,123-006-106-005,Marketing Coordinator,Customer Service,2022-10-06,Ethan Ramirez,2022-10-23,,declined,Dates OK
2071594,123-010-109-001,IT Technician,Legal,2022-06-20,Patricia Young,2022-07-02,2022-07-13,new to org,Dates OK
5280137,123-002-125-001,Security Analyst,Finance,2023-06-06,Joseph Mitchell,2023-06-07,2023-06-10,transfer,Dates OK
5280137,123-002-125-002,Security Analyst,Finance,2023-04-29,Jessica Williams,2023-05-11,2023-06-05,transfer,Dates OK
5280137,123-002-125-003,Security Analyst,Finance,2022-02-06,Jackson Diaz,2022-02-24,2022-04-17,promo,Dates OK
5280137,123-002-125-004,Security Analyst,Finance,2022-09-12,Joseph Lee,2022-09-26,2022-11-24,,Dates OK
5280137,123-002-125-005,Security Analyst,Finance,2023-01-17,Isabella Jones,2023-01-21,2023-02-23,new to org,Dates OK
1883692,123-004-106-001,Marketing Coordinator,Marketing,2023-04-22,John Cruz,2023-05-20,2023-06-08,,Dates OK
1883692,123-004-106-002,Marketing Coordinator,Marketing,2023-04-13,Christopher Garcia,2023-04-14,2023-05-08,new to org,Dates OK
1883692,123-004-106-003,Marketing Coordinator,Marketing,2022-11-08,Andrew Gomez,2022-12-02,,rescinded,Dates OK
1883692,123-004-106-004,Marketing Coordinator,Marketing,2023-05-21,Lisa Nguyen,2023-06-15,2023-08-04,,Dates OK
1883692,123-004-106-005,Marketing Coordinator,Marketing,2022-09-09,Lucas Wright,2022-09-14,,declined,Dates OK
1107003,123-007-130-001,Biomedical Engineer,Information Technology,2022-01-10,Daniel Green,2022-01-21,,declined,Dates OK
1024528,123-007-125-011,Security Analyst,Information Technology,2023-03-06,Kimberly Thomas,2023-03-22,,declined,Dates OK
1024528,123-007-125-012,Security Analyst,Information Technology,2022-04-06,Dorothy Moore,2022-04-08,2022-06-06,promo,Dates OK
1024528,123-007-125-013,Security Analyst,Information Technology,2023-02-27,Mia King,2023-03-22,,rescinded,Dates OK
7249378,123-002-115-008,Graphic Designer,Finance,2022-04-22,Deborah Nguyen,2022-04-27,,declined,Dates OK
7249378,123-002-115-009,Graphic Designer,Finance,2022-03-18,Isabella Sanchez,2022-04-06,,declined,Dates OK
7249378,123-002-115-010,Graphic Designer,Finance,2022-08-31,Kevin Rodriguez,2022-09-10,2022-09-27,,Dates OK
7249378,123-002-115-011,Graphic Designer,Finance,2022-12-01,Brian Turner,2022-12-12,2023-01-10,,Dates OK
7249378,123-002-115-012,Graphic Designer,Finance,2022-05-20,John Gonzalez,2022-06-14,,rescinded,Dates OK
2772642,123-008-106-001,Marketing Coordinator,Research and Development,2023-01-02,Linda Wright,2023-01-27,,rescinded,Dates OK
2772642,123-008-106-002,Marketing Coordinator,Research and Development,2022-09-29,Karen Robinson,2022-10-27,,declined,Dates OK
2772642,123-008-106-003,Marketing Coordinator,Research and Development,2022-11-08,David Phillips,2022-12-05,,declined,Dates OK
2772642,123-008-106-004,Marketing Coordinator,Research and Development,2022-12-02,Susan Turner,2022-12-07,2022-12-13,transfer,Dates OK
5164420,123-007-112-009,Business Analyst,Information Technology,2022-03-18,Donna Taylor,2022-03-19,,declined,Dates OK
5164420,123-007-112-010,Business Analyst,Information Technology,2022-02-01,Isabella Lopez,2022-02-14,,declined,Dates OK
5164420,123-007-112-011,Business Analyst,Information Technology,2022-04-15,Michael Robinson,2022-05-11,2022-07-01,promo,Dates OK
5164420,123-007-112-012,Business Analyst,Information Technology,2022-08-16,James Brown,2022-08-21,,declined,Dates OK
5164420,123-007-112-013,Business Analyst,Information Technology,2022-03-28,Betty White,2022-04-16,,declined,Dates OK
2081661,123-008-107-001,Sales Associate,Research and Development,2023-03-20,Jackson Torres,2023-04-16,,declined,Dates OK
2081661,123-008-107-002,Sales Associate,Research and Development,2023-04-18,Linda Williams,2023-04-20,2023-05-01,new to org,Dates OK
7626978,123-001-116-001,Content Writer,Human Resources,2022-07-11,Daniel Wilson,2022-07-20,2022-08-07,promo,Dates OK
7626978,123-001-116-002,Content Writer,Human Resources,2022-09-09,Robert Flores,2022-09-30,2022-10-19,promo,Dates OK
7626978,123-001-116-003,Content Writer,Human Resources,2022-10-14,Patricia Garcia,2022-10-27,2022-11-05,,Dates OK
7626978,123-001-116-004,Content Writer,Human Resources,2022-01-20,Kenneth Phillips,2022-02-02,2022-03-25,promo,Dates OK
7024901,123-009-116-001,Content Writer,Operations,2022-11-26,Andrew Allen,2022-12-09,,rescinded,Dates OK
7024901,123-009-116-002,Content Writer,Operations,2022-08-13,Mary Lee,2022-08-14,,declined,Dates OK
7024901,123-009-116-003,Content Writer,Operations,2023-04-29,Patricia Phillips,2023-05-16,2023-06-08,new to org,Dates OK
7024901,123-009-116-004,Content Writer,Operations,2022-09-11,David Miller,2022-10-03,2022-10-19,promo,Dates OK
5471581,123-001-118-002,Network Engineer,Human Resources,2022-06-27,Daniel Turner,2022-07-03,2022-07-19,,Dates OK
5471581,123-001-118-003,Network Engineer,Human Resources,2022-01-29,Ava Nguyen,2022-02-21,2022-04-07,new to org,Dates OK
6900247,123-010-119-002,Account Manager,Legal,2023-05-20,Mason Phillips,2023-06-07,2023-06-27,promo,Dates OK
6900247,123-010-119-003,Account Manager,Legal,2022-02-27,Robert Garcia,2022-03-07,,declined,Dates OK
4671004,123-009-101-001,Software Engineer,Operations,2023-02-10,Dorothy Nelson,2023-03-01,,declined,Dates OK
4671004,123-009-101-002,Software Engineer,Operations,2022-12-15,Ethan Rodriguez,2023-01-07,2023-01-19,promo,Dates OK
4671004,123-009-101-003,Software Engineer,Operations,2022-06-01,Patricia Johnson,2022-06-20,2022-08-05,new to org,Dates OK
4671004,123-009-101-004,Software Engineer,Operations,2023-01-09,Mia King,2023-01-12,2023-02-05,transfer,Dates OK
2695038,123-005-111-001,Product Manager,Sales,2023-03-24,David Campbell,2023-04-19,,declined,Dates OK
2695038,123-005-111-002,Product Manager,Sales,2022-06-28,Carol Lee,2022-07-21,2022-08-26,,Dates OK
2695038,123-005-111-003,Product Manager,Sales,2022-06-29,Joseph Nelson,2022-07-12,2022-08-01,new to org,Dates OK
5941179,123-003-105-001,Financial Analyst,Engineering,2022-02-03,Mia Roberts,2022-02-09,2022-03-20,,Dates OK
6338793,123-010-130-001,Biomedical Engineer,Legal,2022-05-25,Jackson Young,2022-06-05,2022-07-23,transfer,Dates OK
6338793,123-010-130-002,Biomedical Engineer,Legal,2022-06-21,Daniel Lee,2022-07-12,,declined,Dates OK
2488575,123-006-127-006,Training Coordinator,Customer Service,2023-05-06,Matthew Miller,2023-06-01,,declined,Dates OK
2488575,123-006-127-007,Training Coordinator,Customer Service,2022-12-25,Brian Jones,2023-01-03,,declined,Dates OK
2488575,123-006-127-008,Training Coordinator,Customer Service,2023-03-25,Patricia Harris,2023-04-18,2023-05-15,transfer,Dates OK
2488575,123-006-127-009,Training Coordinator,Customer Service,2023-01-23,Ashley Cruz,2023-02-04,2023-03-11,,Dates OK
4784650,123-008-106-005,Marketing Coordinator,Research and Development,2022-11-23,Charles Johnson,2022-12-02,2022-12-09,transfer,Dates OK
2244876,123-003-111-001,Product Manager,Engineering,2022-04-06,John Scott,2022-04-17,,declined,Dates OK
2244876,123-003-111-002,Product Manager,Engineering,2023-03-18,Dorothy Johnson,2023-04-08,2023-04-19,,Dates OK
2244876,123-003-111-003,Product Manager,Engineering,2022-04-14,David Brown,2022-04-25,2022-05-09,,Dates OK
2244876,123-003-111-004,Product Manager,Engineering,2022-09-29,Brian Scott,2022-10-21,2022-11-09,,Dates OK
5989554,123-002-108-005,Customer Support Rep,Finance,2023-05-18,Emily Turner,2023-05-23,,rescinded,Dates OK
1914439,123-001-112-001,Business Analyst,Human Resources,2022-07-09,Paul Harris,2022-07-21,,declined,Dates OK
1914439,123-001-112-002,Business Analyst,Human Resources,2022-01-27,Richard Miller,2022-02-03,2022-02-14,,Dates OK
1914439,123-001-112-003,Business Analyst,Human Resources,2022-04-29,Donald Diaz,2022-05-09,2022-06-29,transfer,Dates OK
1914439,123-001-112-004,Business Analyst,Human Resources,2022-09-29,Lucas Nelson,2022-10-02,2022-11-13,,Dates OK
7399588,123-003-112-001,Business Analyst,Engineering,2023-06-20,Mason Harris,2023-07-04,,declined,Dates OK
7399588,123-003-112-002,Business Analyst,Engineering,2022-10-03,Joseph Turner,2022-10-22,2022-10-26,new to org,Dates OK
7399588,123-003-112-003,Business Analyst,Engineering,2022-04-10,Brian Nelson,2022-04-13,,declined,Dates OK
7399588,123-003-112-004,Business Analyst,Engineering,2022-08-21,Edward Nguyen,2022-09-08,2022-09-12,,Dates OK
9984440,123-008-122-003,DevOps Engineer,Research and Development,2023-02-09,Karen Garcia,2023-03-10,2023-05-04,,Dates OK
9984440,123-008-122-004,DevOps Engineer,Research and Development,2023-04-05,Linda Carter,2023-04-11,2023-04-22,promo,Dates OK
9984440,123-008-122-005,DevOps Engineer,Research and Development,2023-03-10,William Williams,2023-03-13,2023-04-26,promo,Dates OK
9984440,123-008-122-006,DevOps Engineer,Research and Development,2022-09-22,Mason Hill,2022-10-03,2022-12-01,promo,Dates OK
9984440,123-008-122-007,DevOps Engineer,Research and Development,2023-02-11,Jennifer Harris,2023-03-01,2023-03-22,transfer,Dates OK
5633880,123-008-117-001,Quality Assurance,Research and Development,2022-06-03,Linda Clark,2022-06-08,2022-07-15,,Dates OK
2681144,123-002-130-007,Biomedical Engineer,Finance,2022-12-19,Logan Wright,2023-01-17,2023-02-13,new to org,Dates OK
2681144,123-002-130-008,Biomedical Engineer,Finance,2023-04-30,Carol Young,2023-05-02,,rescinded,Dates OK
2681144,123-002-130-009,Biomedical Engineer,Finance,2023-02-16,Betty Martinez,2023-02-18,,declined,Dates OK
2681144,123-002-130-010,Biomedical Engineer,Finance,2022-02-20,Brian Thomas,2022-03-16,2022-04-16,new to org,Dates OK
2681144,123-002-130-011,Biomedical Engineer,Finance,2022-11-07,Mary Perez,2022-11-17,2022-12-05,new to org,Dates OK
9248001,123-002-128-003,Payroll Specialist,Finance,2022-11-25,Melissa Lewis,2022-12-04,,declined,Dates OK
9248001,123-002-128-004,Payroll Specialist,Finance,2022-08-05,Richard Lewis,2022-09-04,2022-10-27,transfer,Dates OK
7831185,123-008-124-001,Compliance Officer,Research and Development,2022-06-12,Steven Gomez,2022-06-15,2022-07-05,transfer,Dates OK
7831185,123-008-124-002,Compliance Officer,Research and Development,2023-06-21,William Roberts,2023-07-20,2023-08-26,,Dates OK
7831185,123-008-124-003,Compliance Officer,Research and Development,2022-07-25,Richard Cruz,2022-08-21,,declined,Dates OK
7831185,123-008-124-004,Compliance Officer,Research and Development,2022-02-21,Robert Robinson,2022-03-23,,declined,Dates OK
7831185,123-008-124-005,Compliance Officer,Research and Development,2023-04-21,Sarah White,2023-05-08,2023-06-03,promo,Dates OK
3078241,123-001-122-001,DevOps Engineer,Human Resources,2022-07-01,Joshua Lewis,2022-07-29,,rescinded,Dates OK
3078241,123-001-122-002,DevOps Engineer,Human Resources,2022-09-22,Daniel Hernandez,2022-10-16,2022-12-09,new to org,Dates OK
2516524,123-001-110-003,Legal Advisor,Human Resources,2022-01-09,Joshua Phillips,2022-01-17,,declined,Dates OK
2516524,123-001-110-004,Legal Advisor,Human Resources,2022-08-19,Mia Anderson,2022-09-10,2022-09-24,promo,Dates OK
2516524,123-001-110-005,Legal Advisor,Human Resources,2022-01-21,Anthony Allen,2022-02-18,,rescinded,Dates OK
2516524,123-001-110-006,Legal Advisor,Human Resources,2022-05-16,Donald Collins,2022-06-06,2022-06-18,transfer,Dates OK
5234408,123-005-120-001,Executive Assistant,Sales,2023-04-16,Mia Thompson,2023-04-25,2023-05-09,,Dates OK
5234408,123-005-120-002,Executive Assistant,Sales,2022-01-08,Donna Miller,2022-01-25,2022-03-09,,Dates OK
5234408,123-005-120-003,Executive Assistant,Sales,2022-10-17,Emily Adams,2022-10-27,2022-12-10,new to org,Dates OK
2813693,123-002-116-001,Content Writer,Finance,2022-09-25,Logan Moore,2022-10-16,2022-12-01,new to org,Dates OK
2813693,123-002-116-002,Content Writer,Finance,2023-06-14,Richard Martinez,2023-07-09,2023-07-25,new to org,Dates OK
2813693,123-002-116-003,Content Writer,Finance,2022-05-24,Kevin Lee,2022-06-17,2022-06-19,,Dates OK
9344531,123-005-110-006,Legal Advisor,Sales,2022-07-14,Donna Rivera,2022-07-25,2022-09-10,transfer,Dates OK
9344531,123-005-110-007,Legal Advisor,Sales,2023-01-03,Ava Nelson,2023-01-20,2023-02-09,,Dates OK
9344531,123-005-110-008,Legal Advisor,Sales,2023-04-28,Charles Miller,2023-05-03,2023-06-20,promo,Dates OK
9344531,123-005-110-009,Legal Advisor,Sales,2022-07-07,Ethan Scott,2022-07-29,,rescinded,Dates OK
6630978,123-002-121-001,UX Designer,Finance,2022-11-11,Melissa Parker,2022-11-25,,rescinded,Dates OK
6630978,123-002-121-002,UX Designer,Finance,2022-10-29,Lisa Taylor,2022-11-13,2023-01-07,new to org,Dates OK
2976045,123-001-116-005,Content Writer,Human Resources,2022-07-19,Donald Cruz,2022-08-05,2022-08-13,transfer,Dates OK
2976045,123-001-116-006,Content Writer,Human Resources,2023-02-28,Kimberly Martin,2023-03-02,2023-04-27,,Dates OK
2976045,123-001-116-007,Content Writer,Human Resources,2023-02-24,Richard Perez,2023-03-15,2023-05-12,promo,Dates OK
2976045,123-001-116-008,Content Writer,Human Resources,2022-07-04,Elizabeth Lee,2022-07-29,2022-08-04,,Dates OK
2976045,123-001-116-009,Content Writer,Human Resources,2022-03-01,Christopher Green,2022-03-02,2022-03-31,promo,Dates OK
5589036,123-003-107-005,Sales Associate,Engineering,2022-04-01,Sophia Carter,2022-04-06,2022-05-16,,Dates OK
5589036,123-003-107-006,Sales Associate,Engineering,2023-05-04,Betty Ramirez,2023-05-17,2023-05-18,,Dates OK
5589036,123-003-107-007,Sales Associate,Engineering,2023-01-18,Richard Campbell,2023-01-19,,declined,Dates OK
5589036,123-003-107-008,Sales Associate,Engineering,2022-01-05,Mary Baker,2022-01-26,2022-03-14,promo,Dates OK
5589036,123-003-107-009,Sales Associate,Engineering,2022-12-19,Brian Cruz,2022-12-29,,rescinded,Dates OK
3163099,123-007-104-006,HR Specialist,Information Technology,2022-02-16,John Evans,2022-02-26,2022-03-17,promo,Dates OK
3163099,123-007-104-007,HR Specialist,Information Technology,2022-05-18,Margaret Cruz,2022-05-29,2022-07-26,new to org,Dates OK
3163099,123-007-104-008,HR Specialist,Information Technology,2023-02-18,David Collins,2023-02-19,2023-03-06,promo,Dates OK
3163099,123-007-104-009,HR Specialist,Information Technology,2022-01-23,William Wilson,2022-02-11,,rescinded,Dates OK
3163099,123-007-104-010,HR Specialist,Information Technology,2022-02-08,Lisa Rivera,2022-02-21,2022-04-19,transfer,Dates OK
5291430,123-009-125-004,Security Analyst,Operations,2022-05-21,Sarah Flores,2022-06-04,,declined,Dates OK
5291430,123-009-125-005,Security Analyst,Operations,2022-01-21,Carol Turner,2022-01-23,2022-03-09,transfer,Dates OK
5291430,123-009-125-006,Security Analyst,Operations,2022-05-07,Mark Harris,2022-05-25,,declined,Dates OK
5291430,123-009-125-007,Security Analyst,Operations,2022-07-30,Brian Martinez,2022-08-22,,rescinded,Dates OK
5291430,123-009-125-008,Security Analyst,Operations,2022-04-14,Karen Clark,2022-05-06,2022-06-09,transfer,Dates OK
2760168,123-010-117-005,Quality Assurance,Legal,2023-05-25,Sophia Miller,2023-06-01,,declined,Dates OK
4351238,123-005-125-007,Security Analyst,Sales,2022-10-30,Dorothy Clark,2022-11-05,2022-11-08,new to org,Dates OK
4351238,123-005-125-008,Security Analyst,Sales,2022-12-05,Brian Walker,2022-12-13,2022-12-14,promo,Dates OK
4351238,123-005-125-009,Security Analyst,Sales,2022-04-24,Jennifer Collins,2022-05-21,,declined,Dates OK
4351238,123-005-125-010,Security Analyst,Sales,2023-06-08,Elizabeth Garcia,2023-06-11,2023-07-28,,Dates OK
4351238,123-005-125-011,Security Analyst,Sales,2023-04-13,Carol Anderson,2023-04-23,2023-05-10,new to org,Dates OK
8789281,123-002-102-001,Data Scientist,Finance,2022-11-17,Lisa Phillips,2022-12-01,2023-01-18,new to org,Dates OK
8789281,123-002-102-002,Data Scientist,Finance,2022-02-16,Mia Carter,2022-02-17,,declined,Dates OK
3321873,123-003-122-007,DevOps Engineer,Engineering,2022-10-02,Mark Flores,2022-10-31,,rescinded,Dates OK
3321873,123-003-122-008,DevOps Engineer,Engineering,2022-07-07,Isabella Perez,2022-07-11,2022-08-06,new to org,Dates OK
3321873,123-003-122-009,DevOps Engineer,Engineering,2023-01-30,Sarah Turner,2023-02-22,2023-04-18,,Dates OK
9023619,123-007-126-001,Recruiter,Information Technology,2022-03-02,Brian Campbell,2022-03-30,,declined,Dates OK
9023619,123-007-126-002,Recruiter,Information Technology,2023-05-10,Anthony Collins,2023-06-05,,declined,Dates OK
8351152,123-010-106-001,Marketing Coordinator,Legal,2022-05-14,Logan Baker,2022-05-30,2022-07-28,transfer,Dates OK
8351152,123-010-106-002,Marketing Coordinator,Legal,2022-03-06,Mark Williams,2022-03-15,2022-04-26,,Dates OK
8351152,123-010-106-003,Marketing Coordinator,Legal,2022-12-13,Kevin Parker,2022-12-30,2023-02-02,promo,Dates OK
8351152,123-010-106-004,Marketing Coordinator,Legal,2022-09-12,Margaret Nelson,2022-09-28,2022-10-21,transfer,Dates OK
7457158,123-009-105-001,Financial Analyst,Operations,2023-04-03,Mia Young,2023-04-14,,declined,Dates OK
7457158,123-009-105-002,Financial Analyst,Operations,2023-04-26,Steven Diaz,2023-05-24,2023-06-25,promo,Dates OK
7457158,123-009-105-003,Financial Analyst,Operations,2022-11-25,Edward Young,2022-12-03,2022-12-25,transfer,Dates OK
7457158,123-009-105-004,Financial Analyst,Operations,2023-01-23,Steven Anderson,2023-02-05,2023-03-30,transfer,Dates OK
7457158,123-009-105-005,Financial Analyst,Operations,2023-04-04,Sandra Lewis,2023-04-07,,rescinded,Dates OK
2991570,123-001-116-010,Content Writer,Human Resources,2022-01-01,Emily Scott,2022-01-28,2022-02-03,transfer,Dates OK
6110305,123-009-129-001,Supply Chain Manager,Operations,2022-12-16,Kevin Robinson,2022-12-28,,declined,Dates OK
6110305,123-009-129-002,Supply Chain Manager,Operations,2022-12-06,Mia Robinson,2022-12-24,2023-02-12,promo,Dates OK
6110305,123-009-129-003,Supply Chain Manager,Operations,2023-01-08,Dorothy Nelson,2023-01-31,2023-03-01,,Dates OK
6110305,123-009-129-004,Supply Chain Manager,Operations,2022-08-16,Edward Nelson,2022-08-17,,declined,Dates OK
6110305,123-009-129-005,Supply Chain Manager,Operations,2023-01-18,Emily King,2023-02-10,2023-02-17,new to org,Dates OK
1768029,123-003-129-001,Supply Chain Manager,Engineering,2023-02-24,Dorothy Mitchell,2023-02-28,,declined,Dates OK
1768029,123-003-129-002,Supply Chain Manager,Engineering,2022-05-04,Richard Gonzalez,2022-06-03,,declined,Dates OK
1768029,123-003-129-003,Supply Chain Manager,Engineering,2022-07-15,Sandra Evans,2022-08-07,2022-08-29,promo,Dates OK
1768029,123-003-129-004,Supply Chain Manager,Engineering,2022-05-07,Anthony Williams,2022-06-01,,declined,Dates OK
8558212,123-010-115-010,Graphic Designer,Legal,2023-06-28,Ashley Smith,2023-07-22,,declined,Dates OK
8558212,123-010-115-011,Graphic Designer,Legal,2022-09-12,Ava Hall,2022-09-21,,declined,Dates OK
8558212,123-010-115-012,Graphic Designer,Legal,2022-07-01,Jackson Allen,2022-07-24,2022-08-31,,Dates OK
8558212,123-010-115-013,Graphic Designer,Legal,2022-04-17,Isabella Rodriguez,2022-04-30,,declined,Dates OK
8558212,123-010-115-014,Graphic Designer,Legal,2023-01-29,Steven Cruz,2023-02-12,2023-03-23,new to org,Dates OK
7675150,123-005-111-004,Product Manager,Sales,2023-06-09,Anthony Hill,2023-06-19,2023-08-12,promo,Dates OK
7675150,123-005-111-005,Product Manager,Sales,2022-08-11,Dorothy Mitchell,2022-08-18,2022-09-01,new to org,Dates OK
7675150,123-005-111-006,Product Manager,Sales,2022-05-16,Amanda Thompson,2022-06-08,2022-07-20,new to org,Dates OK
7675150,123-005-111-007,Product Manager,Sales,2022-11-27,Steven Wright,2022-12-20,2022-12-28,promo,Dates OK
6909569,123-008-118-001,Network Engineer,Research and Development,2022-10-20,Amanda Mitchell,2022-11-18,2023-01-12,,Dates OK
6909569,123-008-118-002,Network Engineer,Research and Development,2022-01-26,Kimberly Miller,2022-02-08,2022-02-18,transfer,Dates OK
6909569,123-008-118-003,Network Engineer,Research and Development,2022-10-01,Patricia Gonzalez,2022-10-26,,declined,Dates OK
6909569,123-008-118-004,Network Engineer,Research and Development,2022-05-30,Amanda Taylor,2022-06-26,2022-06-30,new to org,Dates OK
6909569,123-008-118-005,Network Engineer,Research and Development,2022-02-03,Susan Carter,2022-02-15,2022-04-09,new to org,Dates OK
8593275,123-010-104-001,HR Specialist,Legal,2022-10-22,Jessica Allen,2022-11-14,2022-12-27,,Dates OK
8593275,123-010-104-002,HR Specialist,Legal,2023-03-03,Matthew Harris,2023-03-29,,declined,Dates OK
8593275,123-010-104-003,HR Specialist,Legal,2022-01-14,Emily Brown,2022-02-07,2022-02-24,new to org,Dates OK
8593275,123-010-104-004,HR Specialist,Legal,2023-03-30,Logan Roberts,2023-04-26,,rescinded,Dates OK
8593275,123-010-104-005,HR Specialist,Legal,2023-01-12,Kenneth Rivera,2023-02-06,,rescinded,Dates OK
4296204,123-004-125-008,Security Analyst,Marketing,2023-06-11,Barbara Lopez,2023-06-15,2023-07-10,transfer,Dates OK
4296204,123-004-125-009,Security Analyst,Marketing,2022-09-28,Sarah Scott,2022-10-03,,declined,Dates OK
4296204,123-004-125-010,Security Analyst,Marketing,2022-01-06,Mia Taylor,2022-01-17,,declined,Dates OK
8823741,123-003-123-002,Data Engineer,Engineering,2022-02-22,Christopher Hill,2022-03-19,,declined,Dates OK
6052539,123-010-116-003,Content Writer,Legal,2022-11-22,Sophia Rivera,2022-12-09,,rescinded,Dates OK
6052539,123-010-116-004,Content Writer,Legal,2022-03-11,Barbara King,2022-04-06,,declined,Dates OK
6052539,123-010-116-005,Content Writer,Legal,2023-02-18,Paul Wright,2023-02-21,2023-03-16,,Dates OK
6052539,123-010-116-006,Content Writer,Legal,2022-12-06,Susan Nelson,2022-12-17,,rescinded,Dates OK
6052539,123-010-116-007,Content Writer,Legal,2023-06-28,Charlotte Carter,2023-07-14,2023-08-19,promo,Dates OK
1147701,123-006-104-001,HR Specialist,Customer Service,2022-09-07,Carol Flores,2022-09-09,,declined,Dates OK
1147701,123-006-104-002,HR Specialist,Customer Service,2022-04-27,Matthew Collins,2022-05-10,2022-05-27,new to org,Dates OK
1147701,123-006-104-003,HR Specialist,Customer Service,2023-06-14,Mary Collins,2023-07-11,2023-08-30,new to org,Dates OK
1147701,123-006-104-004,HR Specialist,Customer Service,2022-10-31,Ashley Williams,2022-11-29,2023-01-10,,Dates OK
4229821,123-009-111-005,Product Manager,Operations,2022-01-08,Deborah Wright,2022-01-29,2022-02-03,promo,Dates OK
4536326,123-004-122-005,DevOps Engineer,Marketing,2023-03-22,Paul Turner,2023-04-12,2023-06-04,promo,Dates OK
4536326,123-004-122-006,DevOps Engineer,Marketing,2022-12-06,Mary Robinson,2022-12-08,2022-12-14,promo,Dates OK
4536326,123-004-122-007,DevOps Engineer,Marketing,2022-09-15,Barbara Gomez,2022-10-03,,declined,Dates OK
4536326,123-004-122-008,DevOps Engineer,Marketing,2022-09-22,Isabella Anderson,2022-10-06,,declined,Dates OK
7510106,123-007-115-001,Graphic Designer,Information Technology,2022-05-02,Matthew Baker,2022-05-20,,rescinded,Dates OK
7510106,123-007-115-002,Graphic Designer,Information Technology,2022-11-05,Sophia Baker,2022-11-25,,declined,Dates OK
7510106,123-007-115-003,Graphic Designer,Information Technology,2022-02-16,Edward Mitchell,2022-03-11,2022-05-05,transfer,Dates OK
7510106,123-007-115-004,Graphic Designer,Information Technology,2022-04-19,Jackson Allen,2022-04-29,,declined,Dates OK
2451316,123-008-110-006,Legal Advisor,Research and Development,2023-05-01,Kevin Johnson,2023-05-07,,rescinded,Dates OK
2451316,123-008-110-007,Legal Advisor,Research and Development,2022-10-30,Melissa Sanchez,2022-11-20,2022-11-30,promo,Dates OK
2451316,123-008-110-008,Legal Advisor,Research and Development,2023-01-18,Olivia Collins,2023-01-19,,rescinded,Dates OK
2451316,123-008-110-009,Legal Advisor,Research and Development,2022-01-06,Linda Williams,2022-01-25,2022-03-05,promo,Dates OK
7611593,123-009-118-005,Network Engineer,Operations,2022-12-19,Melissa Mitchell,2022-12-26,,rescinded,Dates OK
7923193,123-009-129-006,Supply Chain Manager,Operations,2022-09-16,Joseph Flores,2022-09-23,,declined,Dates OK
7923193,123-009-129-007,Supply Chain Manager,Operations,2022-02-25,Kevin Phillips,2022-03-25,,declined,Dates OK
8738745,123-009-121-010,UX Designer,Operations,2022-04-11,John Taylor,2022-04-18,,declined,Dates OK
9173698,123-006-111-001,Product Manager,Customer Service,2022-03-13,Michael Jackson,2022-04-11,2022-04-24,promo,Dates OK
9173698,123-006-111-002,Product Manager,Customer Service,2022-11-10,Nancy Flores,2022-12-03,2023-01-10,,Dates OK
3556763,123-010-119-004,Account Manager,Legal,2022-11-17,David Smith,2022-11-25,2023-01-15,,Dates OK
3556763,123-010-119-005,Account Manager,Legal,2023-03-23,Melissa Adams,2023-04-01,,rescinded,Dates OK
3556763,123-010-119-006,Account Manager,Legal,2022-12-06,Amanda Campbell,2023-01-04,2023-02-04,promo,Dates OK
8765307,123-006-115-009,Graphic Designer,Customer Service,2022-03-25,Barbara Adams,2022-04-21,2022-05-09,transfer,Dates OK
8765307,123-006-115-010,Graphic Designer,Customer Service,2022-07-21,Lucas Wright,2022-07-30,2022-09-15,promo,Dates OK
8765307,123-006-115-011,Graphic Designer,Customer Service,2022-01-20,George Jones,2022-02-17,2022-03-22,transfer,Dates OK
1523352,123-010-127-001,Training Coordinator,Legal,2022-09-24,Ava Williams,2022-10-12,2022-12-09,promo,Dates OK
1523352,123-010-127-002,Training Coordinator,Legal,2022-06-02,Carol Roberts,2022-06-14,2022-07-10,,Dates OK
1523352,123-010-127-003,Training Coordinator,Legal,2022-10-25,Deborah Nguyen,2022-10-30,,rescinded,Dates OK
1523352,123-010-127-004,Training Coordinator,Legal,2023-05-30,Betty White,2023-05-31,2023-07-13,transfer,Dates OK
1523352,123-010-127-005,Training Coordinator,Legal,2022-06-19,Ethan Flores,2022-07-14,,rescinded,Dates OK
9625782,123-008-105-001,Financial Analyst,Research and Development,2022-05-30,Charlotte Torres,2022-06-23,,declined,Dates OK
9625782,123-008-105-002,Financial Analyst,Research and Development,2023-05-15,Robert Anderson,2023-05-23,2023-05-28,new to org,Dates OK
5435176,123-004-112-005,Business Analyst,Marketing,2023-04-11,Matthew Walker,2023-05-10,2023-05-13,new to org,Dates OK
1669489,123-006-121-001,UX Designer,Customer Service,2022-09-27,Mason Mitchell,2022-10-16,2022-11-20,new to org,Dates OK
3916715,123-007-113-007,Operations Supervisor,Information Technology,2023-01-21,Kimberly Taylor,2023-02-20,2023-03-07,transfer,Dates OK
